BENSON,,,,
NGR = 4625E 1916N,,,,
Altitude = 57 metres,,,,
Latitude = 51:62N Longitude = 01:10W,,,,
Date,Hour,Hourly Mean Windspeed (kn),Hourly Mean Wind Direction (o),Hourly Temperature (°C)
01/01/2012,0,14,210,12.3
01/01/2012,1,12,220,11.9
01/01/2012,2,10,210,11.8
01/01/2012,3,11,210,11.7
01/01/2012,4,10,210,12.1
01/01/2012,5,10,210,11.8
01/01/2012,6,11,210,11.7
01/01/2012,7,10,220,11.7
01/01/2012,8,10,210,11.0
01/01/2012,9,12,200,11.1
01/01/2012,10,12,210,11.2
01/01/2012,11,12,210,11.8
01/01/2012,12,15,210,11.7
01/01/2012,13,12,200,11.5
01/01/2012,14,9,200,11.3
01/01/2012,15,8,210,10.4
01/01/2012,16,9,190,10.0
01/01/2012,17,9,200,9.7
01/01/2012,18,8,220,9.4
01/01/2012,19,8,220,9.5
01/01/2012,20,9,230,8.8
01/01/2012,21,8,240,8.3
01/01/2012,22,9,240,7.3
01/01/2012,23,7,220,5.9
02/01/2012,0,6,200,5.3
02/01/2012,1,7,190,5.2
02/01/2012,2,7,200,4.1
02/01/2012,3,6,210,4.5
02/01/2012,4,7,210,4.2
02/01/2012,5,9,210,5.1
02/01/2012,6,8,220,4.2
02/01/2012,7,9,220,3.9
02/01/2012,8,9,220,3.6
02/01/2012,9,8,220,3.5
02/01/2012,10,8,220,4.5
02/01/2012,11,9,220,5.7
02/01/2012,12,13,230,5.9
02/01/2012,13,13,230,6.7
02/01/2012,14,15,230,6.8
02/01/2012,15,15,230,5.5
02/01/2012,16,13,230,4.3
02/01/2012,17,11,210,3.8
02/01/2012,18,8,200,4.4
02/01/2012,19,9,210,4.4
02/01/2012,20,10,200,4.2
02/01/2012,21,11,210,4.9
02/01/2012,22,11,190,4.1
02/01/2012,23,10,180,4.3
03/01/2012,0,10,180,5.9
03/01/2012,1,12,190,7.2
03/01/2012,2,15,190,7.3
03/01/2012,3,18,180,8.3
03/01/2012,4,23,190,9.0
03/01/2012,5,21,200,10.3
03/01/2012,6,23,210,11.2
03/01/2012,7,27,210,11.3
03/01/2012,8,27,210,11.8
03/01/2012,9,27,210,12.2
03/01/2012,10,27,220,12.4
03/01/2012,11,25,220,11.8
03/01/2012,12,20,270,7.4
03/01/2012,13,14,240,7.7
03/01/2012,14,16,250,7.4
03/01/2012,15,17,250,9.0
03/01/2012,16,20,260,6.6
03/01/2012,17,16,250,6.3
03/01/2012,18,15,250,6.1
03/01/2012,19,15,250,5.8
03/01/2012,20,11,240,5.6
03/01/2012,21,11,240,5.6
03/01/2012,22,12,230,5.4
03/01/2012,23,10,220,5.7
04/01/2012,0,11,260,6.2
04/01/2012,1,14,270,6.0
04/01/2012,2,13,270,5.8
04/01/2012,3,13,270,5.3
04/01/2012,4,12,260,5.3
04/01/2012,5,11,260,4.6
04/01/2012,6,13,250,5.2
04/01/2012,7,13,250,5.2
04/01/2012,8,10,250,4.9
04/01/2012,9,9,240,5.1
04/01/2012,10,11,240,6.0
04/01/2012,11,11,230,6.9
04/01/2012,12,12,240,8.0
04/01/2012,13,14,240,8.2
