H57,H47,H35,Mean57,SD57,Max57,Min57,Mean47,SD47,Max47,Min47,Mean35,SD35,Max35,Min35,MeanWD,SDWD,MaxWD,MinWD,MeanTemp,SDTemp,MaxTemp,MinTemp,Date,Time
57,47,35,4.21,0.37,4.94,3.03,3.72,0.4,4.56,2.65,3.39,0.4,4.17,2.26,29,3,30,0,4.8,0,4.9,4.7,11/16/2010,0:00:00
57,47,35,4.49,0.5,6.09,3.41,3.9,0.52,5.71,3.03,3.48,0.45,4.56,2.26,27,5,25,0,4.8,0,4.9,4.7,11/16/2010,0:10:00
57,47,35,4.72,0.62,6.09,3.03,4.4,0.64,6.09,3.03,4.14,0.5,5.32,3.03,24,9,44,0,4.8,0,5.2,4.7,11/16/2010,0:20:00
57,47,35,4.39,0.5,5.71,3.03,4.02,0.45,5.32,3.03,3.77,0.4,4.94,2.65,14,5,17,0,5.1,0,5.4,4.9,11/16/2010,0:30:00
57,47,35,3.4,0.44,4.56,2.26,3.2,0.38,4.17,2.26,3.14,0.37,3.8,2.26,7,5,7,0,4.9,0,5.2,4.7,11/16/2010,0:40:00
57,47,35,3.54,0.62,5.71,2.65,3.24,0.56,4.94,2.26,2.92,0.56,4.94,1.88,359,9,21,0,4.7,0,4.9,4.4,11/16/2010,0:50:00
57,47,35,3.16,0.37,4.17,2.65,3.01,0.31,3.8,2.26,2.72,0.4,3.8,1.88,345,3,346,0,4.6,0,4.7,4.4,11/16/2010,1:00:00
57,47,35,3.98,0.31,4.94,3.03,3.66,0.28,4.56,3.03,3.55,0.34,4.17,2.65,346,11,343,0,4.5,0,4.7,4.4,11/16/2010,1:10:00
57,47,35,3.86,0.45,4.94,2.26,3.57,0.4,4.94,2.65,3.41,0.38,4.56,2.26,339,4,337,0,4.4,0,4.7,4.4,11/16/2010,1:20:00
57,47,35,3.54,0.32,4.56,2.65,3.35,0.31,4.17,2.65,3.23,0.31,4.17,2.26,322,9,340,0,4.3,0,4.7,4.2,11/16/2010,1:30:00
57,47,35,4.07,0.38,4.94,3.03,3.98,0.4,4.94,3.03,3.91,0.42,4.94,2.65,308,7,313,0,4.2,0,4.4,4.2,11/16/2010,1:40:00
57,47,35,4.47,0.32,5.32,3.8,4.36,0.35,5.32,3.8,4.26,0.31,4.94,3.41,313,6,303,0,4,0,4.2,3.7,11/16/2010,1:50:00
57,47,35,4.96,0.18,5.32,4.56,4.99,0.19,5.32,4.56,4.83,0.18,5.32,4.56,301,5,301,0,4,0,4.2,3.7,11/16/2010,2:00:00
57,47,35,5.26,0.27,6.09,4.56,5.25,0.25,5.71,4.94,4.95,0.21,5.71,4.56,299,5,295,0,3.7,0,4.2,3.4,11/16/2010,2:10:00
57,47,35,5.87,0.22,6.47,5.32,5.8,0.23,6.09,4.94,5.3,0.27,6.09,4.17,294,4,298,0,3.6,0,3.7,3.4,11/16/2010,2:20:00
57,47,35,5.89,0.32,6.85,4.94,5.88,0.37,7.24,4.94,5.33,0.44,6.47,4.17,296,5,309,0,3.6,0,3.7,3.4,11/16/2010,2:30:00
57,47,35,5.62,0.26,6.47,4.94,5.65,0.26,6.09,4.94,5.41,0.28,6.09,4.56,292,3,290,0,3.8,0,4.2,3.7,11/16/2010,2:40:00
57,47,35,6.59,0.47,7.61,5.32,6.42,0.44,7.24,5.32,5.82,0.4,6.85,4.17,292,3,289,0,3.7,0,3.7,3.7,11/16/2010,2:50:00
57,47,35,6.4,0.54,7.61,4.56,5.96,0.67,7.24,4.17,5.03,0.64,6.47,3.41,299,7,285,0,3.6,0,3.7,3.4,11/16/2010,3:00:00
57,47,35,6.54,0.45,7.24,4.56,6.03,0.56,7.61,4.56,4.94,0.7,6.47,3.03,295,9,290,0,3.6,0,3.7,3.4,11/16/2010,3:10:00
57,47,35,6.25,0.45,7.24,4.56,5.62,0.54,7.24,4.17,4.31,0.67,6.09,2.65,288,7,286,0,3.6,0,3.7,3.4,11/16/2010,3:20:00
57,47,35,5.98,0.52,7.24,4.56,5.29,0.54,6.85,3.8,4.02,0.47,5.71,3.03,286,5,292,0,3.3,0,3.7,3.2,11/16/2010,3:30:00
57,47,35,6.41,0.38,7.24,4.94,5.71,0.4,6.47,4.56,4.6,0.5,5.71,3.41,287,5,291,0,3.1,0,3.4,2.9,11/16/2010,3:40:00
57,47,35,6.7,0.45,7.61,4.56,6.11,0.42,7.24,4.94,5.04,0.45,6.47,3.8,278,4,276,0,3.3,0,3.4,2.9,11/16/2010,3:50:00
57,47,35,6.65,0.77,8.37,4.56,6.31,0.64,8.37,4.56,5.39,0.54,6.85,4.17,278,5,279,0,3.6,0,3.7,3.2,11/16/2010,4:00:00
57,47,35,6.21,0.99,7.99,3.8,5.93,0.87,7.61,3.8,5.1,0.64,7.24,3.41,275,6,286,0,3.9,0,4.2,3.7,11/16/2010,4:10:00
57,47,35,5.62,0.91,7.99,3.8,5.38,0.7,7.61,3.8,4.73,0.62,6.85,3.03,275,5,278,0,3.4,0.2,3.7,2.9,11/16/2010,4:20:00
57,47,35,6.12,1.04,8.37,3.03,5.94,0.87,8.37,3.8,5.27,0.8,7.61,3.41,280,8,282,0,3.3,0.2,3.7,2.9,11/16/2010,4:30:00
57,47,35,6.71,0.95,8.77,4.56,6.42,0.77,9.54,4.56,5.46,0.7,7.24,3.8,278,7,272,0,3.9,0.1,4.2,3.7,11/16/2010,4:40:00
57,47,35,6.56,1.08,8.77,4.17,6.27,0.99,8.37,3.8,5.33,0.83,8.37,3.41,278,8,279,0,3.9,0,4.2,3.7,11/16/2010,4:50:00
