H49,H39,H30,H10,Mean49,SD49,Max49,Min49,Mean39,SD39,Max39,Min39,Mean30,SD30,Max30,Min30,Mean10,SD10,Max10,Min10,MeanWD,SDWD,MaxWD,MinWD,MeanTemp,SDTemp,MaxTemp,MinTemp,Date,Time
49,39,30,10,4.26,0.31,4.94,3.8,3.05,0.31,3.8,2.26,1.06,0.38,1.88,0.35,0.69,0.38,0.35,0.35,314,4,311,0,63.3,0.1,63.6,62.6,8/3/2003,0:00:00
49,39,30,10,3.99,0.67,4.94,1.12,2.99,0.64,3.8,0.73,1.34,0.5,2.26,0.35,0.88,0.5,0.35,0.35,315,17,316,0,63,0,63.6,62.6,8/3/2003,0:10:00
49,39,30,10,2.79,0.64,4.56,1.12,2.75,0.62,4.17,1.12,1.33,0.56,3.03,0.35,0.87,0.56,0.35,0.35,39,22,58,0,63,0,63.6,62.6,8/3/2003,0:20:00
49,39,30,10,3.36,0.87,4.94,1.5,2.83,0.7,4.56,1.5,1.03,0.62,3.41,0.35,0.67,0.62,0.35,0.35,65,12,73,0,63.2,0,63.6,62.6,8/3/2003,0:30:00
49,39,30,10,2.42,0.45,3.8,1.5,2.4,0.56,4.17,1.12,0.61,0.27,1.5,0.35,0.35,0.27,0.35,0.35,55,16,62,0,63,0,63.6,62.6,8/3/2003,0:40:00
49,39,30,10,1.94,0.37,2.65,1.12,1.26,0.34,1.88,0.73,0.35,0,0.35,0.35,0.35,0,0.35,0.35,6,4,12,0,64.2,0.3,65.1,63.6,8/3/2003,0:50:00
49,39,30,10,0.97,0.25,1.5,0.35,0.4,0.14,1.12,0.35,0.35,0,0.35,0.35,0.35,0,0.35,0.35,354,6,358,0,62.8,0,63.6,62.6,8/3/2003,1:00:00
49,39,30,10,1.65,0.35,2.65,1.12,1.45,0.45,2.26,0.35,1.16,0.5,2.26,0.35,0.77,0.5,0.35,0.35,301,15,281,0,62.7,0,63.1,62.6,8/3/2003,1:10:00
49,39,30,10,2.33,0.19,2.65,1.88,2.36,0.32,3.03,1.5,2.02,0.38,2.65,1.12,1.16,0.38,0.35,0.35,264,4,277,0,61.9,0.2,62.6,61.6,8/3/2003,1:20:00
49,39,30,10,1.58,0.29,2.26,0.73,1.12,0.37,1.88,0.35,0.46,0.24,1.5,0.35,0.35,0.24,0.35,0.35,268,0,269,0,61.6,0,61.6,61.1,8/3/2003,1:30:00
49,39,30,10,2.6,0.4,3.41,1.5,1.89,0.34,2.65,1.12,1.46,0.54,2.26,0.35,0.94,0.54,0.35,0.35,275,6,282,0,62.2,0,62.6,61.6,8/3/2003,1:40:00
49,39,30,10,3.25,0.28,3.8,2.65,2.57,0.31,3.41,1.88,2.04,0.28,2.65,1.5,1.17,0.28,0.35,0.35,280,3,283,0,62.1,0.2,62.6,61.6,8/3/2003,1:50:00
49,39,30,10,3.83,0.17,4.17,3.41,3.24,0.19,3.41,3.03,2.45,0.35,3.03,1.12,1.29,0.35,0.35,0.35,272,6,278,0,61.4,0,61.6,60.6,8/3/2003,2:00:00
49,39,30,10,4.17,0.26,4.56,3.8,3.56,0.26,4.17,3.03,2.37,0.5,3.03,1.12,1.27,0.5,0.35,0.35,275,4,279,0,60.8,0,61.1,60.6,8/3/2003,2:10:00
49,39,30,10,4.16,0.2,4.56,3.8,3.65,0.18,4.17,3.41,2.82,0.26,3.41,1.88,1.38,0.26,0.35,0.35,271,3,278,0,61.2,0,61.6,60.6,8/3/2003,2:20:00
49,39,30,10,3.7,0.24,4.17,3.03,3.37,0.21,3.8,3.03,2.09,0.37,3.03,1.12,1.19,0.37,0.35,0.35,256,2,263,0,60.8,0,61.6,60.6,8/3/2003,2:30:00
49,39,30,10,2.85,0.24,3.41,2.26,2.86,0.24,3.41,2.26,1.78,0.25,2.26,1.12,1.08,0.25,0.35,0.35,259,6,259,0,60.7,0,60.6,60.6,8/3/2003,2:40:00
49,39,30,10,3.39,0.32,4.17,2.65,3.78,0.42,4.56,3.03,2.53,0.23,3.03,1.88,1.31,0.23,0.35,0.35,262,5,261,0,60.7,0,60.6,60.6,8/3/2003,2:50:00
49,39,30,10,4.93,0.5,5.71,3.41,4.87,0.26,5.32,4.17,2.74,0.32,3.41,1.88,1.36,0.32,0.35,0.35,267,5,267,0,60,0.2,60.6,59.6,8/3/2003,3:00:00
49,39,30,10,4.35,0.19,4.56,4.17,4.28,0.24,4.94,3.8,2.13,0.4,3.03,1.12,1.2,0.4,0.35,0.35,276,2,276,0,59.7,0,59.6,59.6,8/3/2003,3:10:00
49,39,30,10,5.24,0.35,5.71,4.17,5.01,0.45,6.09,4.17,3.3,0.25,3.8,2.65,1.48,0.25,0.35,0.35,274,2,273,0,59.5,0,59.6,59.1,8/3/2003,3:20:00
49,39,30,10,5.41,0.24,5.71,4.94,4.25,0.52,4.94,3.41,2.47,0.56,3.41,1.12,1.29,0.56,0.35,0.35,274,1,274,0,59.2,0,59.6,59.1,8/3/2003,3:30:00
49,39,30,10,5.47,0.42,6.47,4.94,4.25,0.32,4.94,3.41,1.8,0.47,2.65,1.12,1.09,0.47,0.35,0.35,286,4,285,0,59.1,0,59.1,59.1,8/3/2003,3:40:00
49,39,30,10,5.58,0.37,6.09,4.94,3.93,0.34,4.94,3.03,1.57,0.67,2.65,0.35,0.99,0.67,0.35,0.35,292,3,287,0,59.1,0,59.1,59.1,8/3/2003,3:50:00
49,39,30,10,5.45,0.23,5.71,4.56,3.82,0.31,4.56,3.03,1.85,0.38,3.03,1.12,1.1,0.38,0.35,0.35,288,3,284,0,59.3,0,59.6,59.1,8/3/2003,4:00:00
49,39,30,10,5.65,0.27,6.09,4.56,3.91,0.45,4.94,2.65,1.77,0.7,3.03,0.35,1.07,0.7,0.35,0.35,289,7,287,0,59,0,59.6,58.6,8/3/2003,4:10:00
49,39,30,10,5.91,0.21,6.47,5.32,4.48,0.42,4.94,3.41,1.53,0.45,2.65,0.35,0.97,0.45,0.35,0.35,298,2,300,0,58.5,0.1,59.1,58.1,8/3/2003,4:20:00
49,39,30,10,5.85,0.25,6.09,4.94,4.46,0.35,5.32,3.41,2.08,0.42,3.03,1.12,1.18,0.42,0.35,0.35,298,1,300,0,58.5,0,59.1,58.1,8/3/2003,4:30:00
49,39,30,10,4.95,0.28,5.71,4.17,3.17,0.35,3.8,2.26,0.65,0.47,2.26,0.35,0.35,0.47,0.35,0.35,304,2,302,0,58.8,0,59.1,59.1,8/3/2003,4:40:00
49,39,30,10,4.89,0.25,5.32,4.17,3.31,0.34,4.17,2.65,1,0.56,1.88,0.35,0.64,0.56,0.35,0.35,305,5,304,0,58.7,0,59.1,58.6,8/3/2003,4:50:00
49,39,30,10,5.62,0.25,6.09,4.94,3.9,0.25,4.56,3.41,1.86,0.22,2.26,1.5,1.11,0.22,0.35,0.35,316,2,318,0,58.1,0.1,58.6,58.1,8/3/2003,5:00:00
49,39,30,10,5.06,0.23,5.71,4.56,3.6,0.22,4.17,3.03,1.4,0.22,1.88,0.73,0.91,0.22,0.35,0.35,320,4,320,0,57.9,0,58.1,57.6,8/3/2003,5:10:00
49,39,30,10,4.2,0.44,4.94,3.41,2.8,0.47,3.8,1.88,0.74,0.37,1.5,0.35,0.37,0.37,0.35,0.35,322,5,330,0,57.7,0,58.1,57.6,8/3/2003,5:20:00
49,39,30,10,4.18,0.26,4.56,3.41,3.12,0.32,3.41,2.26,1.09,0.52,2.26,0.35,0.71,0.52,0.35,0.35,315,0,317,0,57.6,0,58.1,57.6,8/3/2003,5:30:00
49,39,30,10,4.33,0.22,4.94,3.8,2.78,0.23,3.41,2.26,0.73,0.44,1.88,0.35,0.35,0.44,0.35,0.35,318,4,318,0,57.9,0,58.1,58.1,8/3/2003,5:40:00
49,39,30,10,3.4,0.29,4.17,2.65,2.04,0.31,2.65,1.12,0.35,0,0.35,0.35,0.35,0,0.35,0.35,310,3,308,0,57.7,0,58.1,57.6,8/3/2003,5:50:00
49,39,30,10,3.49,0.2,4.17,3.03,2.44,0.29,3.03,1.88,0.35,0,0.35,0.35,0.35,0,0.35,0.35,305,5,301,0,57.7,0,58.1,57.6,8/3/2003,6:00:00
49,39,30,10,3.88,0.17,4.56,3.41,3.22,0.28,3.8,2.65,1.4,0.28,2.26,0.35,0.91,0.28,0.35,0.35,299,1,297,0,57.7,0,58.1,57.6,8/3/2003,6:10:00
49,39,30,10,3.9,0.32,4.56,3.41,3.76,0.29,4.17,3.03,2.13,0.45,3.03,0.73,1.2,0.45,0.35,0.35,296,2,299,0,57.9,0,58.1,57.6,8/3/2003,6:20:00
49,39,30,10,3.84,0.19,4.17,3.41,3.66,0.26,4.17,3.03,1.13,0.27,1.88,0.35,0.75,0.27,0.35,0.35,284,3,287,0,57.9,0,58.1,57.6,8/3/2003,6:30:00
49,39,30,10,5.22,0.31,5.71,4.17,4.52,0.25,4.94,3.8,1.19,0.42,1.88,0.35,0.79,0.42,0.35,0.35,283,3,282,0,58,0.1,58.6,58.1,8/3/2003,6:40:00
49,39,30,10,5.53,0.28,6.09,4.94,4.32,0.56,4.94,3.03,0.57,0.34,1.5,0.35,0.35,0.34,0.35,0.35,290,5,287,0,59.2,0.5,60.6,58.6,8/3/2003,6:50:00
