Date,SD49
6/30/2003,0.38
6/30/2003,0.59
6/30/2003,0.64
6/30/2003,0.54
6/30/2003,0.54
6/30/2003,1.23
6/30/2003,0.56
6/30/2003,0.83
6/30/2003,0.64
6/30/2003,1.13
6/30/2003,0.73
6/30/2003,0.67
6/30/2003,0.83
6/30/2003,0.77
6/30/2003,0.67
6/30/2003,0.67
6/30/2003,0.7
6/30/2003,0.59
6/30/2003,0.83
6/30/2003,1.23
6/30/2003,1.18
6/30/2003,0.8
6/30/2003,1.04
6/30/2003,0.91
6/30/2003,0.47
6/30/2003,0.54
6/30/2003,0.62
6/30/2003,1.04
6/30/2003,0.73
6/30/2003,0.8
6/30/2003,1.23
6/30/2003,0.83
6/30/2003,1.18
6/30/2003,0.99
6/30/2003,0.45
6/30/2003,0.54
6/30/2003,0.45
6/30/2003,0.34
6/30/2003,0.54
6/30/2003,0.45
6/30/2003,0.26
6/30/2003,0.45
6/30/2003,0.59
6/30/2003,0.42
6/30/2003,0.8
6/30/2003,0.54
6/30/2003,0.37
6/30/2003,0.28
6/30/2003,0.28
6/30/2003,0.35
6/30/2003,0.26
6/30/2003,0.25
6/30/2003,0.21
6/30/2003,0.17
6/30/2003,0.19
6/30/2003,0.23
6/30/2003,0
6/30/2003,0
6/30/2003,0
6/30/2003,0.13
6/30/2003,0.16
6/30/2003,0.17
6/30/2003,0.15
6/30/2003,0.21
6/30/2003,0.18
6/30/2003,0.24
6/30/2003,0.7
6/30/2003,0.26
6/30/2003,0.19
6/30/2003,0.21
6/30/2003,0.16
6/30/2003,0.18
6/30/2003,0.29
6/30/2003,0.2
6/30/2003,0.19
6/30/2003,0.16
6/30/2003,0.16
6/30/2003,0.14
6/30/2003,0.28
6/30/2003,0.18
6/30/2003,0.12
6/30/2003,0.15
6/30/2003,0.19
6/30/2003,0.2
6/30/2003,0.21
7/1/2003,0.18
7/1/2003,0.17
7/1/2003,0.18
7/1/2003,0.23
7/1/2003,0.17
7/1/2003,0.19
7/1/2003,0.19
7/1/2003,0.14
7/1/2003,0.19
7/1/2003,0.18
7/1/2003,0.12
7/1/2003,0.17
7/1/2003,0.16
7/1/2003,0.19
7/1/2003,0.16
7/1/2003,0.18
7/1/2003,0.19
7/1/2003,0.24
7/1/2003,0.18
7/1/2003,0.22
7/1/2003,0.11
7/1/2003,0.13
7/1/2003,0.13
7/1/2003,0.17
7/1/2003,0.18
7/1/2003,0.16
7/1/2003,0.18
7/1/2003,0.17
7/1/2003,0.18
7/1/2003,0.18
7/1/2003,0.18
7/1/2003,0.19
7/1/2003,0.15
7/1/2003,0.18
7/1/2003,0.15
7/1/2003,0.8
7/1/2003,0.45
7/1/2003,0.21
7/1/2003,0.19
7/1/2003,0.42
7/1/2003,0.5
7/1/2003,0.28
7/1/2003,0.5
7/1/2003,0
7/1/2003,0.02
7/1/2003,0.07
7/1/2003,0
7/1/2003,0.42
7/1/2003,0.4
7/1/2003,0.45
7/1/2003,0.29
7/1/2003,0.4
7/1/2003,0.45
7/1/2003,0.5
7/1/2003,0.25
7/1/2003,0.42
7/1/2003,0.5
7/1/2003,0.52
7/1/2003,0.52
7/1/2003,0.56
7/1/2003,0.95
7/1/2003,0.64
7/1/2003,0.8
7/1/2003,0.64
7/1/2003,0.99
7/1/2003,0.67
7/1/2003,1.04
7/1/2003,0.91
7/1/2003,0.99
7/1/2003,1.04
7/1/2003,1.34
7/1/2003,1.08
7/1/2003,0.73
7/1/2003,0.77
7/1/2003,0.7
7/1/2003,0.99
7/1/2003,0.87
7/1/2003,1.13
7/1/2003,0.52
7/1/2003,0.56
7/1/2003,0.83
7/1/2003,1.29
7/1/2003,1.13
7/1/2003,0.87
7/1/2003,1.4
7/1/2003,0.5
7/1/2003,0.95
7/1/2003,0.5
7/1/2003,0.47
7/1/2003,0.59
7/1/2003,0.54
7/1/2003,0.83
7/1/2003,0.42
7/1/2003,0.54
7/1/2003,0.5
7/1/2003,0.59
7/1/2003,0.77
7/1/2003,0.54
7/1/2003,0.35
7/1/2003,0.42
7/1/2003,0.47
7/1/2003,0.47
7/1/2003,0.38
7/1/2003,0.37
7/1/2003,0.32
7/1/2003,0.4
7/1/2003,0.34
7/1/2003,0.35
7/1/2003,0.24
7/1/2003,0.21
7/1/2003,0.22
7/1/2003,0.29
7/1/2003,0.2
7/1/2003,0.12
7/1/2003,0
7/1/2003,0
7/1/2003,0
7/1/2003,0
7/1/2003,0
7/1/2003,0
7/1/2003,0
7/1/2003,0
7/1/2003,0
7/1/2003,0
7/1/2003,0.44
7/1/2003,0.18
7/1/2003,0.28
7/1/2003,0.15
7/1/2003,0.18
7/1/2003,0.19
7/1/2003,0.19
7/1/2003,0.21
7/1/2003,0.19
7/1/2003,0.21
7/1/2003,0.2
7/1/2003,0.18
7/1/2003,0.19
7/1/2003,0.14
7/1/2003,0.19
7/1/2003,0.19
7/1/2003,0.19
7/1/2003,0.19
7/1/2003,0.17
7/1/2003,0.19
7/2/2003,0.15
7/2/2003,0.18
7/2/2003,0.12
7/2/2003,0.14
7/2/2003,0.16
7/2/2003,0.26
7/2/2003,0.19
7/2/2003,0.19
7/2/2003,0.15
7/2/2003,0.19
7/2/2003,0.42
7/2/2003,0.26
7/2/2003,0.28
7/2/2003,0.17
7/2/2003,0.19
7/2/2003,0.25
7/2/2003,0.29
7/2/2003,0.19
7/2/2003,0.2
7/2/2003,0.37
7/2/2003,0.34
7/2/2003,0.19
7/2/2003,0.77
7/2/2003,0.23
7/2/2003,0.42
7/2/2003,0.2
7/2/2003,0.23
7/2/2003,0.24
7/2/2003,0.5
7/2/2003,0.35
7/2/2003,0.29
7/2/2003,0.22
7/2/2003,0.23
7/2/2003,0.23
7/2/2003,0.26
7/2/2003,0.24
7/2/2003,0.23
7/2/2003,0.62
7/2/2003,1.04
7/2/2003,0.64
7/2/2003,0.54
7/2/2003,0.47
7/2/2003,0.95
7/2/2003,0.52
7/2/2003,0.8
7/2/2003,0.54
7/2/2003,0.54
7/2/2003,0.67
7/2/2003,0.56
7/2/2003,0.54
7/2/2003,0.42
7/2/2003,0.45
7/2/2003,0.5
7/2/2003,0.45
7/2/2003,0.54
7/2/2003,0.67
7/2/2003,0.52
7/2/2003,0.67
7/2/2003,0.45
7/2/2003,0.52
7/2/2003,0.7
7/2/2003,0.77
7/2/2003,0.67
7/2/2003,0.83
7/2/2003,0.83
7/2/2003,1.23
7/2/2003,0.59
7/2/2003,0.67
7/2/2003,0.8
7/2/2003,0.67
7/2/2003,0.56
7/2/2003,0.7
7/2/2003,0.62
7/2/2003,0.77
7/2/2003,0.56
7/2/2003,0.62
7/2/2003,0.59
7/2/2003,0.56
7/2/2003,0.52
7/2/2003,0.54
7/2/2003,0.34
7/2/2003,0.47
7/2/2003,0.45
7/2/2003,0.44
7/2/2003,1.74
7/2/2003,0.62
7/2/2003,0.77
7/2/2003,0.64
7/2/2003,0.99
7/2/2003,0.77
7/2/2003,0.67
7/2/2003,0.7
7/2/2003,0.83
7/2/2003,0.42
7/2/2003,0.44
7/2/2003,0.59
7/2/2003,0.91
7/2/2003,0.37
7/2/2003,0.77
7/2/2003,0.67
7/2/2003,0.87
7/2/2003,0.59
7/2/2003,0.44
7/2/2003,0.62
7/2/2003,0.62
7/2/2003,0.64
