,SD30,Date
0,0.56,6/30/2003
1,0.87,6/30/2003
2,0.95,6/30/2003
3,0.77,6/30/2003
4,0.62,6/30/2003
5,1.18,6/30/2003
6,0.67,6/30/2003
7,1.13,6/30/2003
8,0.91,6/30/2003
9,1.18,6/30/2003
10,0.77,6/30/2003
11,0.95,6/30/2003
12,0.8,6/30/2003
13,0.7,6/30/2003
14,0.44,6/30/2003
15,0.77,6/30/2003
16,0.87,6/30/2003
17,0.8,6/30/2003
18,0.87,6/30/2003
19,1.29,6/30/2003
20,0.91,6/30/2003
21,0.8,6/30/2003
22,0.95,6/30/2003
23,1.08,6/30/2003
24,0.62,6/30/2003
25,0.67,6/30/2003
26,0.8,6/30/2003
27,1.18,6/30/2003
28,0.8,6/30/2003
29,0.73,6/30/2003
30,1.13,6/30/2003
31,0.91,6/30/2003
32,1.4,6/30/2003
33,0.99,6/30/2003
34,0.54,6/30/2003
35,0.62,6/30/2003
36,0.64,6/30/2003
37,0.52,6/30/2003
38,0.67,6/30/2003
39,0.56,6/30/2003
40,0.37,6/30/2003
41,0.47,6/30/2003
42,0.67,6/30/2003
43,0.34,6/30/2003
44,0.44,6/30/2003
45,0.54,6/30/2003
46,0.47,6/30/2003
47,0.28,6/30/2003
48,0.38,6/30/2003
49,0.44,6/30/2003
50,0.23,6/30/2003
51,0.26,6/30/2003
52,0.0,6/30/2003
53,0.0,6/30/2003
54,0.0,6/30/2003
55,0.0,6/30/2003
56,0.0,6/30/2003
57,0.0,6/30/2003
58,0.0,6/30/2003
59,0.0,6/30/2003
60,0.31,6/30/2003
61,0.19,6/30/2003
62,0.19,6/30/2003
63,0.2,6/30/2003
64,0.27,6/30/2003
65,0.23,6/30/2003
66,0.52,6/30/2003
67,0.47,6/30/2003
68,0.24,6/30/2003
69,0.24,6/30/2003
70,0.31,6/30/2003
71,0.31,6/30/2003
72,0.31,6/30/2003
73,0.26,6/30/2003
74,0.25,6/30/2003
75,0.19,6/30/2003
76,0.35,6/30/2003
77,0.31,6/30/2003
78,0.23,6/30/2003
79,0.19,6/30/2003
80,0.22,6/30/2003
81,0.23,6/30/2003
82,0.21,6/30/2003
83,0.19,6/30/2003
84,0.21,6/30/2003
85,0.19,7/1/2003
86,0.18,7/1/2003
87,0.34,7/1/2003
88,0.16,7/1/2003
89,0.0,7/1/2003
90,0.0,7/1/2003
91,0.0,7/1/2003
92,0.0,7/1/2003
93,0.0,7/1/2003
94,0.0,7/1/2003
95,0.0,7/1/2003
96,0.0,7/1/2003
97,0.02,7/1/2003
98,0.0,7/1/2003
99,0.32,7/1/2003
100,0.1,7/1/2003
101,0.2,7/1/2003
102,0.06,7/1/2003
103,0.32,7/1/2003
104,0.0,7/1/2003
105,0.26,7/1/2003
106,0.29,7/1/2003
107,0.19,7/1/2003
108,0.29,7/1/2003
109,0.26,7/1/2003
110,0.42,7/1/2003
111,0.23,7/1/2003
112,0.28,7/1/2003
113,0.29,7/1/2003
114,0.29,7/1/2003
115,0.27,7/1/2003
116,0.18,7/1/2003
117,0.19,7/1/2003
118,0.2,7/1/2003
119,0.25,7/1/2003
120,0.59,7/1/2003
121,0.26,7/1/2003
122,0.35,7/1/2003
123,0.35,7/1/2003
124,0.0,7/1/2003
125,0.0,7/1/2003
126,0.0,7/1/2003
127,0.0,7/1/2003
128,0.0,7/1/2003
129,0.0,7/1/2003
130,0.0,7/1/2003
131,0.0,7/1/2003
132,0.07,7/1/2003
133,0.52,7/1/2003
134,0.5,7/1/2003
135,0.4,7/1/2003
136,0.12,7/1/2003
137,0.42,7/1/2003
138,0.38,7/1/2003
139,0.0,7/1/2003
140,0.34,7/1/2003
141,0.47,7/1/2003
142,0.47,7/1/2003
143,0.38,7/1/2003
144,0.18,7/1/2003
145,0.73,7/1/2003
146,0.64,7/1/2003
147,0.99,7/1/2003
148,0.87,7/1/2003
149,1.18,7/1/2003
150,1.04,7/1/2003
151,0.99,7/1/2003
152,1.29,7/1/2003
153,1.08,7/1/2003
154,0.91,7/1/2003
155,1.34,7/1/2003
156,1.04,7/1/2003
157,0.87,7/1/2003
158,0.95,7/1/2003
159,0.99,7/1/2003
160,0.91,7/1/2003
161,0.99,7/1/2003
162,1.08,7/1/2003
163,0.62,7/1/2003
164,0.52,7/1/2003
165,1.18,7/1/2003
166,0.87,7/1/2003
167,0.95,7/1/2003
168,0.8,7/1/2003
169,1.47,7/1/2003
170,0.62,7/1/2003
171,1.18,7/1/2003
172,0.64,7/1/2003
173,0.59,7/1/2003
174,0.54,7/1/2003
175,0.56,7/1/2003
176,0.91,7/1/2003
177,0.5,7/1/2003
178,0.73,7/1/2003
179,0.77,7/1/2003
180,0.45,7/1/2003
181,0.8,7/1/2003
182,0.54,7/1/2003
183,0.5,7/1/2003
184,0.38,7/1/2003
185,0.45,7/1/2003
186,0.59,7/1/2003
187,0.47,7/1/2003
188,0.35,7/1/2003
189,0.29,7/1/2003
190,0.14,7/1/2003
191,0.24,7/1/2003
192,0.38,7/1/2003
193,0.34,7/1/2003
194,0.34,7/1/2003
195,0.0,7/1/2003
196,0.0,7/1/2003
197,0.0,7/1/2003
198,0.0,7/1/2003
199,0.0,7/1/2003
200,0.0,7/1/2003
201,0.0,7/1/2003
202,0.15,7/1/2003
203,0.24,7/1/2003
204,0.0,7/1/2003
205,0.0,7/1/2003
206,0.0,7/1/2003
207,0.0,7/1/2003
208,0.0,7/1/2003
